machine_id;timestamp;temperature
MACH-01;2025-08-26 00:00:00;39.47
MACH-01;2025-08-26 01:00:00;38.25
MACH-01;2025-08-26 02:00:00;37.41
MACH-01;2025-08-26 03:00:00;37.66
MACH-01;2025-08-26 04:00:00;37.43
MACH-01;2025-08-26 05:00:00;37.16
MACH-01;2025-08-26 06:00:00;36.12
MACH-01;2025-08-26 07:00:00;35.6
MACH-01;2025-08-26 08:00:00;34.91
MACH-01;2025-08-26 09:00:00;36.45
MACH-01;2025-08-26 10:00:00;36.61
MACH-01;2025-08-26 11:00:00;35.6
MACH-01;2025-08-26 12:00:00;35.86
MACH-01;2025-08-26 13:00:00;36.87
MACH-01;2025-08-26 14:00:00;38.3
MACH-01;2025-08-26 15:00:00;38.12
MACH-01;2025-08-26 16:00:00;38.17
MACH-01;2025-08-26 17:00:00;38.83
MACH-01;2025-08-26 18:00:00;38.39
MACH-01;2025-08-26 19:00:00;40.14
MACH-01;2025-08-26 20:00:00;39.35
MACH-01;2025-08-26 21:00:00;38.8
MACH-01;2025-08-26 22:00:00;39.46
MACH-01;2025-08-26 23:00:00;39.1
MACH-01;2025-08-27 00:00:00;39.31
MACH-01;2025-08-27 01:00:00;39.27
MACH-01;2025-08-27 02:00:00;38.91
MACH-01;2025-08-27 03:00:00;37.68
MACH-01;2025-08-27 04:00:00;36.92
MACH-01;2025-08-27 05:00:00;36.4
MACH-01;2025-08-27 06:00:00;34.65
MACH-01;2025-08-27 07:00:00;36.18
MACH-01;2025-08-27 08:00:00;36.09
MACH-01;2025-08-27 09:00:00;35.69
MACH-01;2025-08-27 10:00:00;35.34
MACH-01;2025-08-27 11:00:00;36.98
MACH-01;2025-08-27 12:00:00;36.47
MACH-01;2025-08-27 13:00:00;35.91
MACH-01;2025-08-27 14:00:00;37.46
MACH-01;2025-08-27 15:00:00;37.65
MACH-01;2025-08-27 16:00:00;38.7
MACH-01;2025-08-27 17:00:00;38.71
MACH-01;2025-08-27 18:00:00;39.45
MACH-01;2025-08-27 19:00:00;39.51
MACH-01;2025-08-27 20:00:00;39.21
MACH-01;2025-08-27 21:00:00;40.16
MACH-01;2025-08-27 22:00:00;40.43
MACH-01;2025-08-27 23:00:00;40.19
MACH-01;2025-08-28 00:00:00;38.71
MACH-01;2025-08-28 01:00:00;39.13
MACH-01;2025-08-28 02:00:00;39.11
MACH-01;2025-08-28 03:00:00;38.1
MACH-01;2025-08-28 04:00:00;37.47
MACH-01;2025-08-28 05:00:00;35.89
MACH-01;2025-08-28 06:00:00;36.62
MACH-01;2025-08-28 07:00:00;35.87
MACH-01;2025-08-28 08:00:00;35.6
MACH-01;2025-08-28 09:00:00;36.13
MACH-01;2025-08-28 10:00:00;36.72
MACH-01;2025-08-28 11:00:00;37.66
MACH-01;2025-08-28 12:00:00;35.62
MACH-01;2025-08-28 13:00:00;37.63
MACH-01;2025-08-28 14:00:00;37.77
MACH-01;2025-08-28 15:00:00;38.64
MACH-01;2025-08-28 16:00:00;38.55
MACH-01;2025-08-28 17:00:00;39.38
MACH-01;2025-08-28 18:00:00;39.35
MACH-01;2025-08-28 19:00:00;38.79
MACH-01;2025-08-28 20:00:00;40.11
MACH-01;2025-08-28 21:00:00;39.12
MACH-01;2025-08-28 22:00:00;40.05
MACH-01;2025-08-28 23:00:00;40.11
MACH-01;2025-08-29 00:00:00;38.49
MACH-01;2025-08-29 01:00:00;38.66
MACH-01;2025-08-29 02:00:00;38.62
MACH-01;2025-08-29 03:00:00;37.43
MACH-01;2025-08-29 04:00:00;38.72
MACH-01;2025-08-29 05:00:00;36.68
MACH-01;2025-08-29 06:00:00;35.67
MACH-01;2025-08-29 07:00:00;36.56
MACH-01;2025-08-29 08:00:00;35.74
MACH-01;2025-08-29 09:00:00;36.24
MACH-01;2025-08-29 10:00:00;35.63
MACH-01;2025-08-29 11:00:00;36.61
MACH-01;2025-08-29 12:00:00;35.93
MACH-01;2025-08-29 13:00:00;36.61
MACH-01;2025-08-29 14:00:00;37.78
MACH-01;2025-08-29 15:00:00;38.97
MACH-01;2025-08-29 16:00:00;39.05
MACH-01;2025-08-29 17:00:00;38.9
MACH-01;2025-08-29 18:00:00;38.67
MACH-01;2025-08-29 19:00:00;40.35
MACH-01;2025-08-29 20:00:00;39.86
MACH-01;2025-08-29 21:00:00;39.85
MACH-01;2025-08-29 22:00:00;40.45
MACH-01;2025-08-29 23:00:00;39.36
MACH-01;2025-08-30 00:00:00;39.15
MACH-01;2025-08-30 01:00:00;38.68
MACH-01;2025-08-30 02:00:00;38.19
MACH-01;2025-08-30 03:00:00;37.06
MACH-01;2025-08-30 04:00:00;36.0
MACH-01;2025-08-30 05:00:00;36.84
MACH-01;2025-08-30 06:00:00;35.71
MACH-01;2025-08-30 07:00:00;35.77
MACH-01;2025-08-30 08:00:00;36.15
MACH-01;2025-08-30 09:00:00;35.03
MACH-01;2025-08-30 10:00:00;37.34
MACH-01;2025-08-30 11:00:00;37.25
MACH-01;2025-08-30 12:00:00;36.49
MACH-01;2025-08-30 13:00:00;37.18
MACH-01;2025-08-30 14:00:00;37.14
MACH-01;2025-08-30 15:00:00;36.91
MACH-01;2025-08-30 16:00:00;37.95
MACH-01;2025-08-30 17:00:00;39.86
MACH-01;2025-08-30 18:00:00;39.43
MACH-01;2025-08-30 19:00:00;38.55
MACH-01;2025-08-30 20:00:00;39.9
MACH-01;2025-08-30 21:00:00;40.69
MACH-01;2025-08-30 22:00:00;39.15
MACH-01;2025-08-30 23:00:00;38.58
MACH-01;2025-08-31 00:00:00;38.86
MACH-01;2025-08-31 01:00:00;39.7
MACH-01;2025-08-31 02:00:00;37.31
MACH-01;2025-08-31 03:00:00;37.51
MACH-01;2025-08-31 04:00:00;38.0
MACH-01;2025-08-31 05:00:00;37.42
MACH-01;2025-08-31 06:00:00;36.28
MACH-01;2025-08-31 07:00:00;37.38
MACH-01;2025-08-31 08:00:00;35.7
MACH-01;2025-08-31 09:00:00;35.83
MACH-01;2025-08-31 10:00:00;34.77
MACH-01;2025-08-31 11:00:00;36.91
MACH-01;2025-08-31 12:00:00;36.9
MACH-01;2025-08-31 13:00:00;36.96
MACH-01;2025-08-31 14:00:00;37.11
MACH-01;2025-08-31 15:00:00;38.04
MACH-01;2025-08-31 16:00:00;38.04
MACH-01;2025-08-31 17:00:00;38.65
MACH-01;2025-08-31 18:00:00;39.46
MACH-01;2025-08-31 19:00:00;39.87
MACH-01;2025-08-31 20:00:00;40.0
MACH-01;2025-08-31 21:00:00;39.27
MACH-01;2025-08-31 22:00:00;38.51
MACH-01;2025-08-31 23:00:00;38.62
MACH-01;2025-09-01 00:00:00;39.94
MACH-01;2025-09-01 01:00:00;38.31
MACH-01;2025-09-01 02:00:00;38.1
MACH-01;2025-09-01 03:00:00;38.14
MACH-01;2025-09-01 04:00:00;36.93
MACH-01;2025-09-01 05:00:00;37.14
